HDR,ROLLING SYSTEM DEMAND
VD,20220203205500,35805
VD,20220203210000,35414
VD,20220203210500,35403
VD,20220203211000,34968
VD,20220203211500,34346
VD,20220203212000,33784
VD,20220203212500,33579
VD,20220203213000,33315
VD,20220203213500,33152
VD,20220203214000,32958
VD,20220203214500,32629
VD,20220203215000,32198
VD,20220203215500,31917
VD,20220203220000,31692
VD,20220203220500,31528
VD,20220203221000,31241
VD,20220203221500,30780
VD,20220203222000,30455
VD,20220203222500,30054
VD,20220203223000,29744
VD,20220203223500,29506
VD,20220203224000,29277
VD,20220203224500,28983
VD,20220203225000,28747
VD,20220203225500,28459
VD,20220203230000,28155
VD,20220203230500,27893
VD,20220203231000,27497
VD,20220203231500,27397
VD,20220203232000,27153
VD,20220203232500,26859
VD,20220203233000,26637
VD,20220203233500,26485
VD,20220203234000,26377
VD,20220203234500,26356
VD,20220203235000,26237
VD,20220203235500,26106
VD,20220204000000,25969
VD,20220204000500,25956
VD,20220204001000,25881
VD,20220204001500,25793
VD,20220204002000,25622
VD,20220204002500,25560
VD,20220204003000,25563
VD,20220204003500,26030
VD,20220204004000,26107
VD,20220204004500,26248
VD,20220204005000,26252
VD,20220204005500,26168
VD,20220204010000,26230
VD,20220204010500,26288
VD,20220204011000,26187
VD,20220204011500,26018
VD,20220204012000,25810
VD,20220204012500,25754
VD,20220204013000,25686
VD,20220204013500,25750
VD,20220204014000,25832
VD,20220204014500,25833
VD,20220204015000,25723
VD,20220204015500,25561
VD,20220204020000,25424
VD,20220204020500,25354
VD,20220204021000,25227
VD,20220204021500,24976
VD,20220204022000,24764
VD,20220204022500,24683
VD,20220204023000,24762
VD,20220204023500,24965
VD,20220204024000,24968
VD,20220204024500,24949
VD,20220204025000,24997
VD,20220204025500,24934
VD,20220204030000,24953
VD,20220204030500,25077
VD,20220204031000,25159
VD,20220204031500,25244
VD,20220204032000,25311
VD,20220204032500,25269
VD,20220204033000,25132
VD,20220204033500,24967
VD,20220204034000,24819
VD,20220204034500,24627
VD,20220204035000,24474
VD,20220204035500,24422
VD,20220204040000,24346
VD,20220204040500,24411
VD,20220204041000,24412
VD,20220204041500,24489
VD,20220204042000,24518
VD,20220204042500,24774
VD,20220204043000,24859
VD,20220204043500,24957
VD,20220204044000,25045
VD,20220204044500,25191
VD,20220204045000,25145
VD,20220204045500,24878
VD,20220204050000,24829
VD,20220204050500,24876
VD,20220204051000,25065
VD,20220204051500,25077
VD,20220204052000,25303
VD,20220204052500,25587
VD,20220204053000,25727
VD,20220204053500,25980
VD,20220204054000,26284
VD,20220204054500,26505
VD,20220204055000,26690
VD,20220204055500,26984
VD,20220204060000,27329
VD,20220204060500,28032
VD,20220204061000,28708
VD,20220204061500,29183
VD,20220204062000,29656
VD,20220204062500,30071
VD,20220204063000,30236
VD,20220204063500,30646
VD,20220204064000,31124
VD,20220204064500,31590
VD,20220204065000,32006
VD,20220204065500,32328
VD,20220204070000,32538
VD,20220204070500,32639
VD,20220204071000,33023
VD,20220204071500,33623
VD,20220204072000,33977
VD,20220204072500,34404
VD,20220204073000,34631
VD,20220204073500,34738
VD,20220204074000,34927
VD,20220204074500,35232
VD,20220204075000,35573
VD,20220204075500,35645
VD,20220204080000,35971
VD,20220204080500,36424
VD,20220204081000,36893
VD,20220204081500,37181
VD,20220204082000,37268
VD,20220204082500,37428
VD,20220204083000,37544
VD,20220204083500,37677
VD,20220204084000,37575
VD,20220204084500,37484
VD,20220204085000,37594
VD,20220204085500,37662
VD,20220204090000,37968
VD,20220204090500,38131
VD,20220204091000,38091
VD,20220204091500,38156
VD,20220204092000,38185
VD,20220204092500,38159
VD,20220204093000,38128
VD,20220204093500,37902
VD,20220204094000,37852
VD,20220204094500,37727
VD,20220204095000,37673
VD,20220204095500,37449
VD,20220204100000,37248
VD,20220204100500,36883
VD,20220204101000,36775
VD,20220204101500,36678
VD,20220204102000,36659
VD,20220204102500,36571
VD,20220204103000,36571
VD,20220204103500,36319
VD,20220204104000,36269
VD,20220204104500,36012
VD,20220204105000,35943
VD,20220204105500,35717
VD,20220204110000,35353
VD,20220204110500,34884
VD,20220204111000,34883
VD,20220204111500,34869
VD,20220204112000,34721
VD,20220204112500,34605
VD,20220204113000,34467
VD,20220204113500,34309
VD,20220204114000,34409
VD,20220204114500,34605
VD,20220204115000,34297
VD,20220204115500,34081
VD,20220204120000,34079
VD,20220204120500,34139
VD,20220204121000,34251
VD,20220204121500,34105
VD,20220204122000,34055
VD,20220204122500,33953
VD,20220204123000,33814
VD,20220204123500,33764
VD,20220204124000,33827
VD,20220204124500,33786
VD,20220204125000,33531
VD,20220204125500,33483
VD,20220204130000,33770
VD,20220204130500,34572
VD,20220204131000,34928
VD,20220204131500,34894
VD,20220204132000,35010
VD,20220204132500,34956
VD,20220204133000,34785
VD,20220204133500,34714
VD,20220204134000,34671
VD,20220204134500,34735
VD,20220204135000,34697
VD,20220204135500,34741
VD,20220204140000,34628
VD,20220204140500,34323
VD,20220204141000,34331
VD,20220204141500,34317
VD,20220204142000,34251
VD,20220204142500,34400
VD,20220204143000,34414
VD,20220204143500,34461
VD,20220204144000,34531
VD,20220204144500,34601
VD,20220204145000,34697
VD,20220204145500,34715
VD,20220204150000,34585
VD,20220204150500,34127
VD,20220204151000,33903
VD,20220204151500,33928
VD,20220204152000,33890
VD,20220204152500,34183
VD,20220204153000,34277
VD,20220204153500,34534
VD,20220204154000,34837
VD,20220204154500,35047
VD,20220204155000,35454
VD,20220204155500,35710
VD,20220204160000,35883
VD,20220204160500,36199
VD,20220204161000,36437
VD,20220204161500,36502
VD,20220204162000,36670
VD,20220204162500,37005
VD,20220204163000,37138
VD,20220204163500,37523
VD,20220204164000,37736
VD,20220204164500,37985
VD,20220204165000,38271
VD,20220204165500,38509
VD,20220204170000,38663
VD,20220204170500,39121
VD,20220204171000,39505
VD,20220204171500,39993
VD,20220204172000,40350
VD,20220204172500,40821
VD,20220204173000,41121
VD,20220204173500,41473
VD,20220204174000,41564
VD,20220204174500,41475
VD,20220204175000,41392
VD,20220204175500,41361
VD,20220204180000,41381
VD,20220204180500,41414
VD,20220204181000,41297
VD,20220204181500,41176
VD,20220204182000,41093
VD,20220204182500,41033
VD,20220204183000,40878
VD,20220204183500,40714
VD,20220204184000,40743
VD,20220204184500,40471
VD,20220204185000,40283
VD,20220204185500,40050
VD,20220204190000,39860
VD,20220204190500,39786
VD,20220204191000,39350
VD,20220204191500,39015
VD,20220204192000,38797
VD,20220204192500,38547
VD,20220204193000,38363
VD,20220204193500,38336
VD,20220204194000,38306
VD,20220204194500,38059
VD,20220204195000,37930
VD,20220204195500,37722
VD,20220204200000,37404
VD,20220204200500,37286
VD,20220204201000,37085
VD,20220204201500,36939
VD,20220204202000,36405
VD,20220204202500,36273
VD,20220204203000,36012
VD,20220204203500,35939
VD,20220204204000,35725
VD,20220204204500,35479
VD,20220204205000,35253
VD,20220204205500,35242
VD,20220204210000,35031
VD,20220204210500,34570
VD,20220204211000,34222
VD,20220204211500,33887
VD,20220204212000,33263
VD,20220204212500,32850
VD,20220204213000,32693
VD,20220204213500,32506
VD,20220204214000,32383
VD,20220204214500,32204
VD,20220204215000,31956
VD,20220204215500,31740
VD,20220204220000,31707
VD,20220204220500,31750
VD,20220204221000,31452
VD,20220204221500,31053
VD,20220204222000,30605
VD,20220204222500,30527
VD,20220204223000,30281
VD,20220204223500,29915
VD,20220204224000,29758
VD,20220204224500,29487
VD,20220204225000,29376
VD,20220204225500,29247
VD,20220204230000,29071
VD,20220204230500,28791
VD,20220204231000,28283
VD,20220204231500,27773
VD,20220204232000,27489
VD,20220204232500,27244
VD,20220204233000,26952
VD,20220204233500,26794
VD,20220204234000,26699
VD,20220204234500,26596
VD,20220204235000,26373
VD,20220204235500,26230
VD,20220205000000,26055
VD,20220205000500,25800
VD,20220205001000,25799
VD,20220205001500,25734
VD,20220205002000,25669
